date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1527091200,-23.98823532,17.0269802,-1456145.027,1527091200,-24,18,73.895,-0.18
1527177600,-26.21207873,19.49678044,-2899797.027,1527177600,-27,20,73.695,-0.41
1527523200,-23.99390223,20.34014901,-1888950.027,1527523200,-24,21,74.005,0.34
1527609600,-27.89900589,19.21657421,8354.972913,1527609600,-28,20,74.04,0.53
1527696000,-31.9148749,18.49976207,2743309.973,1527696000,-32,19,73.58,-0.05
1527782400,-38.15244597,16.96179252,5991857.973,1527782400,-39,17,73.325,0.54
1528041600,-48.51314683,19.15090158,2562223.973,1528041600,-49,20,73.065,0.95
1528128000,-53.40238303,22.62440482,-8387.027101,1528128000,-54,23,72.275,0.59
1528214400,-55.32207331,26.17598635,-3087740.027,1528214400,-56,27,71.46,1.1
1528300800,-46.10652864,27.93799928,-728842.5271,1528300800,-47,28,70.57,0.01
1528387200,-32.91351991,29.86223164,-207737.0271,1528387200,-33,30,69.985,0.49
1528646400,-23.26116272,32.24130465,-2578388.527,1528646400,-24,33,69.72,0.84
1528732800,-11.72933533,34.85672424,-4498338.527,1528732800,-12,35,69.015,-0.48
1528819200,-0.902378524,34.28137784,-1497348.027,1528819200,-1,35,68.825,0.86
1528905600,12.11265845,33.48026143,2185943.473,1528905600,13,34,68.625,-0.72
